kommunkod,kommun,M_2010,C_2010,FP_2010,KD_2010,MP_2010,S_2010,V_2010,SD_2010,ovr_2010,ogiltiga_2010,ej_rost_2010,totalt_2010,M_2014,C_2014,FP_2014,KD_2014,MP_2014,S_2014,V_2014,SD_2014,ovr_2014,ogiltiga_2014,ej_rost_2014,totalt_2014,
114,Upplands Väsby,8397,918,1890,1265,1610,6225,1184,1104,307,206,4661,27767,6972,919,1501,1093,1680,7428,1430,2679,825,236,4697,29460,
115,Vallentuna,8150,1336,1599,1185,1402,3094,553,725,263,191,2621,21119,7287,1364,1403,985,1655,3925,649,2071,712,175,2420,22646,
117,Österåker,11092,1407,2232,1522,1833,4352,810,853,292,263,3597,28253,9652,1489,1956,1308,2002,5262,914,2518,712,218,3482,29513,
120,Värmdö,10630,1348,1767,1253,1985,4085,835,946,303,243,3287,26682,9448,1356,1577,1077,2096,5136,946,2626,993,212,3055,28522,
123,Järfälla,14479,1664,3357,2370,3094,10217,2096,1915,543,347,7091,47173,12229,1694,2586,2110,3268,12049,2489,4317,1458,277,7184,49661,
125,Ekerö,7553,1169,1498,1136,1321,2120,507,540,184,118,1778,17924,6613,1208,1250,1068,1404,2734,542,1590,604,145,1756,18914,
126,Huddinge,20769,2362,4127,2794,4090,13320,2870,2569,798,494,10582,64775,17455,2426,3434,2357,4845,15401,3068,5981,2287,448,11408,69110,
127,Botkyrka,12401,1147,2560,2110,2849,14761,2943,2048,559,359,11225,52962,9670,1185,2078,2472,3545,15806,2989,4495,1487,327,12596,56650,
128,Salem,3558,528,850,496,723,2086,371,477,126,97,1353,10665,2984,515,672,549,755,2425,412,1108,308,75,1358,11161,
136,Haninge,16161,1703,3009,1970,3206,12313,2210,2524,825,492,9080,53493,13319,1640,2417,1719,3520,14180,2377,5741,1753,483,9296,56445,
138,Tyresö,10995,1242,2200,1440,2143,5616,1033,1065,330,223,3892,30179,9745,1289,1827,1296,2376,6777,1220,2710,996,230,3643,32109,
139,Upplands-Bro,4870,581,1144,972,943,3852,621,723,188,127,2555,16576,4064,595,995,849,958,4397,727,1825,464,121,2525,17520,
140,Nykvarn,2353,287,392,284,347,1348,143,410,84,63,799,6510,1926,355,273,234,339,1603,155,1097,124,74,733,6913,
160,Täby,20898,3221,4711,3599,2141,4421,794,958,393,245,5154,46535,19836,2804,4944,3072,2687,5487,976,2824,1161,226,4977,48994,0.4048659019
162,Danderyd,10740,2297,2075,2744,798,1195,250,347,157,72,2167,22842,10627,1516,2522,2234,999,1452,287,1126,501,65,2173,23502,
163,Sollentuna,16507,2722,3831,2991,2845,6952,1504,1235,497,316,5635,45035,15106,2337,3689,2687,3448,8445,1762,2984,1420,307,5940,48125,
180,Stockholm,183421,33895,45939,28244,65351,111688,39565,16950,9834,4147,95430,634464,160166,28201,45365,24691,64392,124792,44656,38356,46946,3500,96079,677144,
181,Södertälje,13405,1766,2804,2454,3758,15457,2373,2534,907,462,11825,57745,10870,1807,2191,3242,3431,15089,2755,5821,1945,479,13482,61112,
182,Nacka,24153,4040,4950,3799,4765,8797,2207,1510,709,403,7528,62861,21946,3732,5044,3100,5657,10479,2514,3849,2793,401,7597,67112,
183,Sundbyberg,8007,1052,1823,928,2285,5998,1589,1023,416,190,4875,28186,7014,1080,1600,923,2612,7157,1835,2369,1276,206,4932,31004,
184,Solna,16338,2475,3898,2314,4292,8823,2600,1478,694,380,8162,51454,13986,2294,3795,2074,4687,10543,3113,3606,2666,281,7740,54785,
186,Lidingö,13922,2879,3064,2869,1619,2637,554,759,256,150,3586,32295,13224,2074,3439,2328,1899,3238,606,1900,860,144,3698,33410,
187,Vaxholm,3433,602,657,487,535,877,216,188,88,61,824,7968,3033,580,644,407,624,1119,235,495,247,38,768,8190,
188,Norrtälje,13053,2886,2384,1771,2601,9566,1612,1824,455,510,7419,44081,10723,2845,1784,1391,2417,11478,1726,4762,1318,454,6663,45561,
191,Sigtuna,8720,1016,1617,1354,1432,6365,875,1145,282,217,5000,28023,7406,1055,1237,1264,1600,6930,1130,3137,767,204,5253,29983,
192,Nynäshamn,5665,721,1022,773,1171,4745,867,986,221,222,3133,19526,4481,739,908,653,1082,5198,865,2505,564,165,3012,20172,
305,Håbo,5097,601,860,564,653,2983,368,701,132,153,1950,14062,4262,613,613,537,707,3247,423,1874,340,142,1803,14561,
